step,k,m,w1,w2
638,0.7,3.8,-0.552632,-0.184211
639,0.7,3.9,-0.538461,-0.179487
640,0.7,4,-0.525,-0.175
641,0.7,4.1,-0.512195,-0.170732
642,0.7,4.2,-0.5,-0.166667
643,0.7,4.3,-0.488372,-0.162791
644,0.7,4.4,-0.477273,-0.159091
645,0.7,4.5,-0.466667,-0.155556
646,0.7,4.6,-0.456522,-0.152174
647,0.7,4.7,-0.446808,-0.148936
648,0.7,4.8,-0.4375,-0.145833
649,0.7,4.9,-0.428571,-0.142857
650,0.7,5,-0.42,-0.14
651,0.7,5.1,-0.411765,-0.137255
652,0.7,5.2,-0.403846,-0.134615
653,0.7,5.3,-0.396226,-0.132076
654,0.7,5.4,-0.388889,-0.12963
655,0.7,5.5,-0.381818,-0.127273
656,0.7,5.6,-0.375,-0.125
657,0.7,5.7,-0.368421,-0.122807
658,0.7,5.8,-0.362069,-0.12069
659,0.7,5.9,-0.355932,-0.118644
660,0.7,6,-0.35,-0.116667
661,0.7,6.1,-0.344262,-0.114754
662,0.7,6.2,-0.33871,-0.112903
663,0.7,6.3,-0.333333,-0.111111
664,0.7,6.4,-0.328125,-0.109375
665,0.7,6.5,-0.323077,-0.107692
666,0.7,6.6,-0.318182,-0.106061
667,0.7,6.7,-0.313433,-0.104478
668,0.7,6.8,-0.308823,-0.102941
669,0.7,6.9,-0.304348,-0.101449
670,0.7,7,-0.3,-0.1
671,0.7,7.1,-0.295775,-0.0985916
672,0.7,7.2,-0.291667,-0.0972223
673,0.7,7.3,-0.287671,-0.0958905
674,0.7,7.4,-0.283784,-0.0945946
675,0.7,7.5,-0.28,-0.0933334
676,0.7,7.6,-0.276316,-0.0921053
677,0.7,7.7,-0.272727,-0.0909091
678,0.7,7.8,-0.269231,-0.0897436
679,0.7,7.9,-0.265823,-0.0886076
680,0.7,8,-0.2625,-0.0875
681,0.7,8.1,-0.259259,-0.0864198
682,0.7,8.2,-0.256098,-0.0853659
683,0.7,8.3,-0.253012,-0.0843374
684,0.7,8.4,-0.25,-0.0833334
685,0.7,8.5,-0.247059,-0.082353
686,0.7,8.6,-0.244186,-0.0813954
687,0.7,8.7,-0.241379,-0.0804598
688,0.7,8.8,-0.238636,-0.0795455
689,0.7,8.9,-0.235955,-0.0786517
690,0.7,9,-0.233333,-0.0777778
691,0.7,9.1,-0.230769,-0.0769231
692,0.7,9.2,-0.228261,-0.076087
693,0.7,9.3,-0.225806,-0.0752688
694,0.7,9.4,-0.223404,-0.0744681
695,0.7,9.5,-0.221053,-0.0736842
696,0.7,9.6,-0.21875,-0.0729167
697,0.7,9.7,-0.216495,-0.072165
698,0.7,9.8,-0.214286,-0.0714286
699,0.7,9.9,-0.212121,-0.0707071
700,0.7,10,-0.21,-0.07
701,0.8,0.1,-24,-8
702,0.8,0.2,-12,-4
703,0.8,0.3,-8,-2.66667
704,0.8,0.4,-6,-2
705,0.8,0.5,-4.8,-1.6
706,0.8,0.6,-4,-1.33333
707,0.8,0.7,-3.42857,-1.14286
708,0.8,0.8,-3,-1
709,0.8,0.9,-2.66667,-0.888889
710,0.8,1,-2.4,-0.8
711,0.8,1.1,-2.18182,-0.727273
712,0.8,1.2,-2,-0.666667
713,0.8,1.3,-1.84615,-0.615385
714,0.8,1.4,-1.71429,-0.571429
715,0.8,1.5,-1.6,-0.533333
716,0.8,1.6,-1.5,-0.5
717,0.8,1.7,-1.41176,-0.470588
718,0.8,1.8,-1.33333,-0.444444
719,0.8,1.9,-1.26316,-0.421053
720,0.8,2,-1.2,-0.4
721,0.8,2.1,-1.14286,-0.380952
722,0.8,2.2,-1.09091,-0.363636
723,0.8,2.3,-1.04348,-0.347826
724,0.8,2.4,-1,-0.333333
725,0.8,2.5,-0.96,-0.32
726,0.8,2.6,-0.923077,-0.307692
727,0.8,2.7,-0.888889,-0.296296
728,0.8,2.8,-0.857143,-0.285714
729,0.8,2.9,-0.827586,-0.275862
730,0.8,3,-0.8,-0.266667
731,0.8,3.1,-0.774194,-0.258065
732,0.8,3.2,-0.75,-0.25
733,0.8,3.3,-0.727273,-0.242424
734,0.8,3.4,-0.705882,-0.235294
735,0.8,3.5,-0.685714,-0.228571
736,0.8,3.6,-0.666667,-0.222222
737,0.8,3.7,-0.648649,-0.216216
738,0.8,3.8,-0.631579,-0.210526
739,0.8,3.9,-0.615385,-0.205128
740,0.8,4,-0.6,-0.2
741,0.8,4.1,-0.585366,-0.195122
742,0.8,4.2,-0.571428,-0.190476
743,0.8,4.3,-0.558139,-0.186047
744,0.8,4.4,-0.545454,-0.181818
745,0.8,4.5,-0.533333,-0.177778
746,0.8,4.6,-0.521739,-0.173913
747,0.8,4.7,-0.510638,-0.170213
748,0.8,4.8,-0.5,-0.166667
749,0.8,4.9,-0.489796,-0.163265
750,0.8,5,-0.48,-0.16
751,0.8,5.1,-0.470588,-0.156863
752,0.8,5.2,-0.461538,-0.153846
753,0.8,5.3,-0.45283,-0.150943
754,0.8,5.4,-0.444444,-0.148148
755,0.8,5.5,-0.436364,-0.145455
756,0.8,5.6,-0.428571,-0.142857
757,0.8,5.7,-0.421053,-0.140351
758,0.8,5.8,-0.413793,-0.137931
759,0.8,5.9,-0.40678,-0.135593
760,0.8,6,-0.4,-0.133333
761,0.8,6.1,-0.393443,-0.131148
762,0.8,6.2,-0.387097,-0.129032
763,0.8,6.3,-0.380952,-0.126984
764,0.8,6.4,-0.375,-0.125
765,0.8,6.5,-0.369231,-0.123077
766,0.8,6.6,-0.363636,-0.121212
767,0.8,6.7,-0.358209,-0.119403
768,0.8,6.8,-0.352941,-0.117647
769,0.8,6.9,-0.347826,-0.115942
770,0.8,7,-0.342857,-0.114286
771,0.8,7.1,-0.338028,-0.112676
772,0.8,7.2,-0.333333,-0.111111
773,0.8,7.3,-0.328767,-0.109589
774,0.8,7.4,-0.324324,-0.108108
775,0.8,7.5,-0.32,-0.106667
776,0.8,7.6,-0.315789,-0.105263
777,0.8,7.7,-0.311688,-0.103896
778,0.8,7.8,-0.307692,-0.102564
779,0.8,7.9,-0.303797,-0.101266
780,0.8,8,-0.3,-0.1
781,0.8,8.1,-0.296296,-0.0987655
782,0.8,8.2,-0.292683,-0.097561
783,0.8,8.3,-0.289157,-0.0963856
784,0.8,8.4,-0.285714,-0.0952381
785,0.8,8.5,-0.282353,-0.0941177
786,0.8,8.6,-0.27907,-0.0930233
787,0.8,8.7,-0.275862,-0.0919541
788,0.8,8.8,-0.272727,-0.0909091
789,0.8,8.9,-0.269663,-0.0898877
790,0.8,9,-0.266667,-0.0888889
791,0.8,9.1,-0.263736,-0.0879121
792,0.8,9.2,-0.26087,-0.0869566
793,0.8,9.3,-0.258064,-0.0860215
794,0.8,9.4,-0.255319,-0.0851064
795,0.8,9.5,-0.252632,-0.0842106
796,0.8,9.6,-0.25,-0.0833334
797,0.8,9.7,-0.247423,-0.0824743
798,0.8,9.8,-0.244898,-0.0816327
799,0.8,9.9,-0.242424,-0.0808081
800,0.8,10,-0.24,-0.08
801,0.9,0.1,-27,-9
802,0.9,0.2,-13.5,-4.5
803,0.9,0.3,-9,-3
804,0.9,0.4,-6.75,-2.25
805,0.9,0.5,-5.4,-1.8
806,0.9,0.6,-4.5,-1.5
807,0.9,0.7,-3.85714,-1.28571
808,0.9,0.8,-3.375,-1.125
809,0.9,0.9,-3,-1
810,0.9,1,-2.7,-0.9
811,0.9,1.1,-2.45455,-0.818182
812,0.9,1.2,-2.25,-0.75
813,0.9,1.3,-2.07692,-0.692308
814,0.9,1.4,-1.92857,-0.642857
815,0.9,1.5,-1.8,-0.6
816,0.9,1.6,-1.6875,-0.5625
817,0.9,1.7,-1.58824,-0.529412
818,0.9,1.8,-1.5,-0.5
819,0.9,1.9,-1.42105,-0.473684
820,0.9,2,-1.35,-0.45
821,0.9,2.1,-1.28571,-0.428571
822,0.9,2.2,-1.22727,-0.409091
823,0.9,2.3,-1.17391,-0.391304
824,0.9,2.4,-1.125,-0.375
825,0.9,2.5,-1.08,-0.36
826,0.9,2.6,-1.03846,-0.346154
827,0.9,2.7,-1,-0.333333
828,0.9,2.8,-0.964286,-0.321429
829,0.9,2.9,-0.931034,-0.310345
830,0.9,3,-0.9,-0.3
831,0.9,3.1,-0.870968,-0.290323
832,0.9,3.2,-0.84375,-0.28125
833,0.9,3.3,-0.818182,-0.272727
834,0.9,3.4,-0.794118,-0.264706
835,0.9,3.5,-0.771429,-0.257143
836,0.9,3.6,-0.75,-0.25
837,0.9,3.7,-0.72973,-0.243243
838,0.9,3.8,-0.710526,-0.236842
839,0.9,3.9,-0.692308,-0.230769
840,0.9,4,-0.675,-0.225
841,0.9,4.1,-0.658537,-0.219512
842,0.9,4.2,-0.642857,-0.214286
843,0.9,4.3,-0.627907,-0.209302
844,0.9,4.4,-0.613636,-0.204546
845,0.9,4.5,-0.6,-0.2
846,0.9,4.6,-0.586956,-0.195652
847,0.9,4.7,-0.574468,-0.191489
848,0.9,4.8,-0.5625,-0.1875
849,0.9,4.9,-0.55102,-0.183674
850,0.9,5,-0.54,-0.18
851,0.9,5.1,-0.529412,-0.176471
852,0.9,5.2,-0.519231,-0.173077
853,0.9,5.3,-0.509434,-0.169811
854,0.9,5.4,-0.5,-0.166667
855,0.9,5.5,-0.490909,-0.163636
856,0.9,5.6,-0.482143,-0.160714
857,0.9,5.7,-0.473684,-0.157895
858,0.9,5.8,-0.465517,-0.155172
859,0.9,5.9,-0.457627,-0.152542
860,0.9,6,-0.45,-0.15
861,0.9,6.1,-0.442623,-0.147541
862,0.9,6.2,-0.435484,-0.145161
863,0.9,6.3,-0.428571,-0.142857
864,0.9,6.4,-0.421875,-0.140625
865,0.9,6.5,-0.415385,-0.138462
866,0.9,6.6,-0.409091,-0.136364
867,0.9,6.7,-0.402985,-0.134328
868,0.9,6.8,-0.397059,-0.132353
869,0.9,6.9,-0.391304,-0.130435
870,0.9,7,-0.385714,-0.128571
871,0.9,7.1,-0.380282,-0.126761
872,0.9,7.2,-0.375,-0.125
873,0.9,7.3,-0.369863,-0.123288
874,0.9,7.4,-0.364865,-0.121622
875,0.9,7.5,-0.36,-0.12
876,0.9,7.6,-0.355263,-0.118421
877,0.9,7.7,-0.350649,-0.116883
878,0.9,7.8,-0.346154,-0.115385
879,0.9,7.9,-0.341772,-0.113924
880,0.9,8,-0.3375,-0.1125
881,0.9,8.1,-0.333333,-0.111111
882,0.9,8.2,-0.329268,-0.109756
883,0.9,8.3,-0.325301,-0.108434
884,0.9,8.4,-0.321429,-0.107143
885,0.9,8.5,-0.317647,-0.105882
886,0.9,8.6,-0.313953,-0.104651
887,0.9,8.7,-0.310345,-0.103448
888,0.9,8.8,-0.306818,-0.102273
889,0.9,8.9,-0.303371,-0.101124
890,0.9,9,-0.3,-0.1
891,0.9,9.1,-0.296703,-0.0989011
892,0.9,9.2,-0.293478,-0.0978261
893,0.9,9.3,-0.290323,-0.0967742
894,0.9,9.4,-0.287234,-0.0957447
895,0.9,9.5,-0.28421,-0.0947369
896,0.9,9.6,-0.28125,-0.09375
897,0.9,9.7,-0.27835,-0.0927835
898,0.9,9.8,-0.27551,-0.0918368
899,0.9,9.9,-0.272727,-0.0909091
900,0.9,10,-0.27,-0.09
901,1,0.1,-30,-10
902,1,0.2,-15,-5
903,1,0.3,-10,-3.33333
904,1,0.4,-7.5,-2.5
905,1,0.5,-6,-2
906,1,0.6,-5,-1.66667
907,1,0.7,-4.28571,-1.42857
908,1,0.8,-3.75,-1.25
909,1,0.9,-3.33333,-1.11111
910,1,1,-3,-1
911,1,1.1,-2.72727,-0.909091
912,1,1.2,-2.5,-0.833333
913,1,1.3,-2.30769,-0.769231
914,1,1.4,-2.14286,-0.714286
915,1,1.5,-2,-0.666667
916,1,1.6,-1.875,-0.625
917,1,1.7,-1.76471,-0.588235
918,1,1.8,-1.66667,-0.555556
919,1,1.9,-1.57895,-0.526316
920,1,2,-1.5,-0.5
921,1,2.1,-1.42857,-0.47619
922,1,2.2,-1.36364,-0.454545
923,1,2.3,-1.30435,-0.434783
924,1,2.4,-1.25,-0.416667
925,1,2.5,-1.2,-0.4
926,1,2.6,-1.15385,-0.384615
927,1,2.7,-1.11111,-0.37037
928,1,2.8,-1.07143,-0.357143
929,1,2.9,-1.03448,-0.344828
930,1,3,-1,-0.333333
931,1,3.1,-0.967742,-0.322581
932,1,3.2,-0.9375,-0.3125
933,1,3.3,-0.909091,-0.30303
934,1,3.4,-0.882353,-0.294118
935,1,3.5,-0.857143,-0.285714
936,1,3.6,-0.833333,-0.277778
937,1,3.7,-0.810811,-0.27027
938,1,3.8,-0.789474,-0.263158
939,1,3.9,-0.769231,-0.25641
940,1,4,-0.75,-0.25
941,1,4.1,-0.731707,-0.243902
942,1,4.2,-0.714286,-0.238095
943,1,4.3,-0.697674,-0.232558
944,1,4.4,-0.681818,-0.227273
945,1,4.5,-0.666667,-0.222222
946,1,4.6,-0.652174,-0.217391
947,1,4.7,-0.638298,-0.212766
948,1,4.8,-0.625,-0.208333
949,1,4.9,-0.612245,-0.204082
950,1,5,-0.6,-0.2
951,1,5.1,-0.588235,-0.196079
952,1,5.2,-0.576923,-0.192308
953,1,5.3,-0.566038,-0.188679
954,1,5.4,-0.555555,-0.185185
955,1,5.5,-0.545454,-0.181818
956,1,5.6,-0.535714,-0.178572
957,1,5.7,-0.526316,-0.175439
958,1,5.8,-0.517241,-0.172414
959,1,5.9,-0.508475,-0.169492
960,1,6,-0.5,-0.166667
961,1,6.1,-0.491803,-0.163934
962,1,6.2,-0.483871,-0.16129
963,1,6.3,-0.47619,-0.15873
964,1,6.4,-0.46875,-0.15625
965,1,6.5,-0.461538,-0.153846
966,1,6.6,-0.454545,-0.151515
967,1,6.7,-0.447761,-0.149254
968,1,6.8,-0.441176,-0.147059
969,1,6.9,-0.434783,-0.144928
970,1,7,-0.428571,-0.142857
971,1,7.1,-0.422535,-0.140845
972,1,7.2,-0.416667,-0.138889
973,1,7.3,-0.410959,-0.136986
974,1,7.4,-0.405405,-0.135135
975,1,7.5,-0.4,-0.133333
976,1,7.6,-0.394737,-0.131579
977,1,7.7,-0.38961,-0.12987
978,1,7.8,-0.384615,-0.128205
979,1,7.9,-0.379747,-0.126582
980,1,8,-0.375,-0.125
981,1,8.1,-0.37037,-0.123457
982,1,8.2,-0.365854,-0.121951
983,1,8.3,-0.361446,-0.120482
984,1,8.4,-0.357143,-0.119048
985,1,8.5,-0.352941,-0.117647
986,1,8.6,-0.348837,-0.116279
987,1,8.7,-0.344828,-0.114943
988,1,8.8,-0.340909,-0.113636
989,1,8.9,-0.337079,-0.11236
990,1,9,-0.333333,-0.111111
991,1,9.1,-0.32967,-0.10989
992,1,9.2,-0.326087,-0.108696
993,1,9.3,-0.322581,-0.107527
994,1,9.4,-0.319149,-0.106383
995,1,9.5,-0.315789,-0.105263
996,1,9.6,-0.3125,-0.104167
997,1,9.7,-0.309278,-0.103093
998,1,9.8,-0.306122,-0.102041
999,1,9.9,-0.30303,-0.10101
1000,1,10,-0.3,-0.1
1001,1.1,0.1,-33,-11
1002,1.1,0.2,-16.5,-5.5
1003,1.1,0.3,-11,-3.66667
1004,1.1,0.4,-8.25,-2.75
1005,1.1,0.5,-6.6,-2.2
1006,1.1,0.6,-5.5,-1.83333
1007,1.1,0.7,-4.71429,-1.57143
1008,1.1,0.8,-4.125,-1.375
1009,1.1,0.9,-3.66667,-1.22222
1010,1.1,1,-3.3,-1.1
1011,1.1,1.1,-3,-1
1012,1.1,1.2,-2.75,-0.916667
1013,1.1,1.3,-2.53846,-0.846154
1014,1.1,1.4,-2.35714,-0.785714
1015,1.1,1.5,-2.2,-0.733333
1016,1.1,1.6,-2.0625,-0.6875
1017,1.1,1.7,-1.94118,-0.647059
1018,1.1,1.8,-1.83333,-0.611111
1019,1.1,1.9,-1.73684,-0.578947
1020,1.1,2,-1.65,-0.55
1021,1.1,2.1,-1.57143,-0.52381
1022,1.1,2.2,-1.5,-0.5
1023,1.1,2.3,-1.43478,-0.478261
1024,1.1,2.4,-1.375,-0.458333
1025,1.1,2.5,-1.32,-0.44
1026,1.1,2.6,-1.26923,-0.423077
1027,1.1,2.7,-1.22222,-0.407407
1028,1.1,2.8,-1.17857,-0.392857
1029,1.1,2.9,-1.13793,-0.37931
1030,1.1,3,-1.1,-0.366667
1031,1.1,3.1,-1.06452,-0.354839
1032,1.1,3.2,-1.03125,-0.34375
1033,1.1,3.3,-1,-0.333333
1034,1.1,3.4,-0.970588,-0.323529
1035,1.1,3.5,-0.942857,-0.314286
1036,1.1,3.6,-0.916667,-0.305556
1037,1.1,3.7,-0.891892,-0.297297
1038,1.1,3.8,-0.868421,-0.289474
1039,1.1,3.9,-0.846154,-0.282051
1040,1.1,4,-0.825,-0.275
1041,1.1,4.1,-0.804878,-0.268293
1042,1.1,4.2,-0.785714,-0.261905
1043,1.1,4.3,-0.767442,-0.255814
1044,1.1,4.4,-0.75,-0.25
1045,1.1,4.5,-0.733333,-0.244444
1046,1.1,4.6,-0.717391,-0.23913
1047,1.1,4.7,-0.702128,-0.234043
1048,1.1,4.8,-0.6875,-0.229167
1049,1.1,4.9,-0.673469,-0.22449
1050,1.1,5,-0.66,-0.22
1051,1.1,5.1,-0.647059,-0.215686
1052,1.1,5.2,-0.634615,-0.211538
1053,1.1,5.3,-0.622641,-0.207547
1054,1.1,5.4,-0.611111,-0.203704
1055,1.1,5.5,-0.6,-0.2
1056,1.1,5.6,-0.589286,-0.196429
1057,1.1,5.7,-0.578947,-0.192983
1058,1.1,5.8,-0.568965,-0.189655
1059,1.1,5.9,-0.559322,-0.186441
1060,1.1,6,-0.55,-0.183333
1061,1.1,6.1,-0.540984,-0.180328
1062,1.1,6.2,-0.532258,-0.177419
1063,1.1,6.3,-0.523809,-0.174603
1064,1.1,6.4,-0.515625,-0.171875
1065,1.1,6.5,-0.507692,-0.169231
1066,1.1,6.6,-0.5,-0.166667
1067,1.1,6.7,-0.492537,-0.164179
1068,1.1,6.8,-0.485294,-0.161765
1069,1.1,6.9,-0.478261,-0.15942
1070,1.1,7,-0.471429,-0.157143
1071,1.1,7.1,-0.464789,-0.15493
1072,1.1,7.2,-0.458333,-0.152778
1073,1.1,7.3,-0.452055,-0.150685
1074,1.1,7.4,-0.445946,-0.148649
1075,1.1,7.5,-0.44,-0.146667
1076,1.1,7.6,-0.43421,-0.144737
1077,1.1,7.7,-0.428571,-0.142857
1078,1.1,7.8,-0.423077,-0.141026
1079,1.1,7.9,-0.417721,-0.139241
1080,1.1,8,-0.4125,-0.1375
1081,1.1,8.1,-0.407407,-0.135803
1082,1.1,8.2,-0.402439,-0.134146
1083,1.1,8.3,-0.39759,-0.13253
1084,1.1,8.4,-0.392857,-0.130952
1085,1.1,8.5,-0.388235,-0.129412
1086,1.1,8.6,-0.383721,-0.127907
1087,1.1,8.7,-0.37931,-0.126437
1088,1.1,8.8,-0.375,-0.125
1089,1.1,8.9,-0.370786,-0.123596
1090,1.1,9,-0.366667,-0.122222
1091,1.1,9.1,-0.362637,-0.120879
1092,1.1,9.2,-0.358696,-0.119565
1093,1.1,9.3,-0.354839,-0.11828
1094,1.1,9.4,-0.351064,-0.117021
1095,1.1,9.5,-0.347368,-0.11579
1096,1.1,9.6,-0.34375,-0.114583
1097,1.1,9.7,-0.340206,-0.113402
1098,1.1,9.8,-0.336735,-0.112245
1099,1.1,9.9,-0.333333,-0.111111
1100,1.1,10,-0.33,-0.11
1101,1.2,0.1,-36,-12
1102,1.2,0.2,-18,-6
1103,1.2,0.3,-12,-4
1104,1.2,0.4,-9,-3
1105,1.2,0.5,-7.2,-2.4
1106,1.2,0.6,-6,-2
1107,1.2,0.7,-5.14286,-1.71429
1108,1.2,0.8,-4.5,-1.5
1109,1.2,0.9,-4,-1.33333
1110,1.2,1,-3.6,-1.2
1111,1.2,1.1,-3.27273,-1.09091
1112,1.2,1.2,-3,-1
1113,1.2,1.3,-2.76923,-0.923077
1114,1.2,1.4,-2.57143,-0.857143
1115,1.2,1.5,-2.4,-0.8
1116,1.2,1.6,-2.25,-0.75
1117,1.2,1.7,-2.11765,-0.705882
1118,1.2,1.8,-2,-0.666667
1119,1.2,1.9,-1.89474,-0.631579
1120,1.2,2,-1.8,-0.6
1121,1.2,2.1,-1.71429,-0.571429
1122,1.2,2.2,-1.63636,-0.545455
1123,1.2,2.3,-1.56522,-0.521739
1124,1.2,2.4,-1.5,-0.5
1125,1.2,2.5,-1.44,-0.48
1126,1.2,2.6,-1.38462,-0.461538
1127,1.2,2.7,-1.33333,-0.444444
1128,1.2,2.8,-1.28571,-0.428571
1129,1.2,2.9,-1.24138,-0.413793
1130,1.2,3,-1.2,-0.4
1131,1.2,3.1,-1.16129,-0.387097
1132,1.2,3.2,-1.125,-0.375
1133,1.2,3.3,-1.09091,-0.363636
1134,1.2,3.4,-1.05882,-0.352941
1135,1.2,3.5,-1.02857,-0.342857
1136,1.2,3.6,-1,-0.333333
1137,1.2,3.7,-0.972973,-0.324324
1138,1.2,3.8,-0.947368,-0.315789
1139,1.2,3.9,-0.923077,-0.307692
1140,1.2,4,-0.9,-0.3
1141,1.2,4.1,-0.878049,-0.292683
1142,1.2,4.2,-0.857143,-0.285714
1143,1.2,4.3,-0.837209,-0.27907
1144,1.2,4.4,-0.818182,-0.272727
1145,1.2,4.5,-0.8,-0.266667
1146,1.2,4.6,-0.782609,-0.26087
1147,1.2,4.7,-0.765957,-0.255319
1148,1.2,4.8,-0.75,-0.25
1149,1.2,4.9,-0.734694,-0.244898
1150,1.2,5,-0.72,-0.24
1151,1.2,5.1,-0.705882,-0.235294
1152,1.2,5.2,-0.692308,-0.230769
1153,1.2,5.3,-0.679245,-0.226415
1154,1.2,5.4,-0.666667,-0.222222
1155,1.2,5.5,-0.654545,-0.218182
1156,1.2,5.6,-0.642857,-0.214286
1157,1.2,5.7,-0.631579,-0.210526
1158,1.2,5.8,-0.62069,-0.206897
1159,1.2,5.9,-0.610169,-0.20339
1160,1.2,6,-0.6,-0.2
1161,1.2,6.1,-0.590164,-0.196721
1162,1.2,6.2,-0.580645,-0.193548
1163,1.2,6.3,-0.571428,-0.190476
1164,1.2,6.4,-0.5625,-0.1875
1165,1.2,6.5,-0.553846,-0.184615
1166,1.2,6.6,-0.545454,-0.181818
1167,1.2,6.7,-0.537313,-0.179105
1168,1.2,6.8,-0.529412,-0.176471
1169,1.2,6.9,-0.521739,-0.173913
1170,1.2,7,-0.514286,-0.171429
1171,1.2,7.1,-0.507042,-0.169014
1172,1.2,7.2,-0.5,-0.166667
1173,1.2,7.3,-0.493151,-0.164384
1174,1.2,7.4,-0.486486,-0.162162
1175,1.2,7.5,-0.48,-0.16
1176,1.2,7.6,-0.473684,-0.157895
1177,1.2,7.7,-0.467532,-0.155844
1178,1.2,7.8,-0.461538,-0.153846
1179,1.2,7.9,-0.455696,-0.151899
1180,1.2,8,-0.45,-0.15
1181,1.2,8.1,-0.444444,-0.148148
1182,1.2,8.2,-0.439024,-0.146342
1183,1.2,8.3,-0.433735,-0.144578
1184,1.2,8.4,-0.428571,-0.142857
1185,1.2,8.5,-0.423529,-0.141177
1186,1.2,8.6,-0.418605,-0.139535
1187,1.2,8.7,-0.413793,-0.137931
1188,1.2,8.8,-0.409091,-0.136364
1189,1.2,8.9,-0.404494,-0.134832
1190,1.2,9,-0.4,-0.133333
1191,1.2,9.1,-0.395604,-0.131868
1192,1.2,9.2,-0.391304,-0.130435
1193,1.2,9.3,-0.387097,-0.129032
1194,1.2,9.4,-0.382979,-0.12766
1195,1.2,9.5,-0.378947,-0.126316
1196,1.2,9.6,-0.375,-0.125
1197,1.2,9.7,-0.371134,-0.123711
1198,1.2,9.8,-0.367347,-0.122449
1199,1.2,9.9,-0.363636,-0.121212
1200,1.2,10,-0.36,-0.12
1201,1.3,0.1,-39,-13
1202,1.3,0.2,-19.5,-6.5
1203,1.3,0.3,-13,-4.33333
1204,1.3,0.4,-9.75,-3.25
1205,1.3,0.5,-7.8,-2.6
1206,1.3,0.6,-6.5,-2.16667
1207,1.3,0.7,-5.57143,-1.85714
1208,1.3,0.8,-4.875,-1.625
1209,1.3,0.9,-4.33333,-1.44444
1210,1.3,1,-3.9,-1.3
1211,1.3,1.1,-3.54545,-1.18182
1212,1.3,1.2,-3.25,-1.08333
1213,1.3,1.3,-3,-1
1214,1.3,1.4,-2.78571,-0.928571
1215,1.3,1.5,-2.6,-0.866667
1216,1.3,1.6,-2.4375,-0.8125
1217,1.3,1.7,-2.29412,-0.764706
1218,1.3,1.8,-2.16667,-0.722222
1219,1.3,1.9,-2.05263,-0.684211
1220,1.3,2,-1.95,-0.65
1221,1.3,2.1,-1.85714,-0.619048
1222,1.3,2.2,-1.77273,-0.590909
1223,1.3,2.3,-1.69565,-0.565217
1224,1.3,2.4,-1.625,-0.541667
1225,1.3,2.5,-1.56,-0.52
1226,1.3,2.6,-1.5,-0.5
1227,1.3,2.7,-1.44444,-0.481482
1228,1.3,2.8,-1.39286,-0.464286
1229,1.3,2.9,-1.34483,-0.448276
1230,1.3,3,-1.3,-0.433333
1231,1.3,3.1,-1.25806,-0.419355
1232,1.3,3.2,-1.21875,-0.40625
1233,1.3,3.3,-1.18182,-0.393939
1234,1.3,3.4,-1.14706,-0.382353
1235,1.3,3.5,-1.11429,-0.371429
1236,1.3,3.6,-1.08333,-0.361111
1237,1.3,3.7,-1.05405,-0.351351
1238,1.3,3.8,-1.02632,-0.342105
1239,1.3,3.9,-1,-0.333333
1240,1.3,4,-0.975,-0.325
1241,1.3,4.1,-0.951219,-0.317073
1242,1.3,4.2,-0.928571,-0.309524
1243,1.3,4.3,-0.906977,-0.302326
1244,1.3,4.4,-0.886364,-0.295455
1245,1.3,4.5,-0.866667,-0.288889
1246,1.3,4.6,-0.847826,-0.282609
1247,1.3,4.7,-0.829787,-0.276596
1248,1.3,4.8,-0.8125,-0.270833
1249,1.3,4.9,-0.795918,-0.265306
1250,1.3,5,-0.78,-0.26
1251,1.3,5.1,-0.764706,-0.254902
1252,1.3,5.2,-0.75,-0.25
1253,1.3,5.3,-0.735849,-0.245283
1254,1.3,5.4,-0.722222,-0.240741
1255,1.3,5.5,-0.709091,-0.236364
1256,1.3,5.6,-0.696429,-0.232143
1257,1.3,5.7,-0.684211,-0.22807
1258,1.3,5.8,-0.672414,-0.224138
1259,1.3,5.9,-0.661017,-0.220339
1260,1.3,6,-0.65,-0.216667
1261,1.3,6.1,-0.639344,-0.213115
1262,1.3,6.2,-0.629032,-0.209678
1263,1.3,6.3,-0.619048,-0.206349
1264,1.3,6.4,-0.609375,-0.203125
1265,1.3,6.5,-0.6,-0.2
1266,1.3,6.6,-0.590909,-0.19697
1267,1.3,6.7,-0.582089,-0.19403
1268,1.3,6.8,-0.573529,-0.191177
1269,1.3,6.9,-0.565217,-0.188406
1270,1.3,7,-0.557143,-0.185714
1271,1.3,7.1,-0.549296,-0.183099
1272,1.3,7.2,-0.541667,-0.180556
1273,1.3,7.3,-0.534247,-0.178082
1274,1.3,7.4,-0.527027,-0.175676
1275,1.3,7.5,-0.52,-0.173333
1276,1.3,7.6,-0.513158,-0.171053
1277,1.3,7.7,-0.506493,-0.168831
1278,1.3,7.8,-0.5,-0.166667
1279,1.3,7.9,-0.493671,-0.164557
1280,1.3,8,-0.4875,-0.1625
1281,1.3,8.1,-0.481481,-0.160494
1282,1.3,8.2,-0.47561,-0.158537
1283,1.3,8.3,-0.469879,-0.156627
1284,1.3,8.4,-0.464286,-0.154762
1285,1.3,8.5,-0.458823,-0.152941
1286,1.3,8.6,-0.453488,-0.151163
1287,1.3,8.7,-0.448276,-0.149425
1288,1.3,8.8,-0.443182,-0.147727
1289,1.3,8.9,-0.438202,-0.146067
1290,1.3,9,-0.433333,-0.144445
