Number_of_bodies:3
Number_of_steps:10000
step timestep(s) energy angular_momentum_magnitude L_x L_y L_z body0_radius body0.x body0.y body0.z body1_radius body1.x body1.y body1.z body2_radius body2.x body2.y body2.z
86 8.6 1.74056 4.44089e-16 0 0 4.44089e-16 0.687704 -0.68758 0.0130614 0 1.16444 0.372283 1.10332 0 1.16006 0.315297 -1.11639 0
87 8.7 1.72902 5.27356e-16 0 0 5.27356e-16 0.635643 -0.63503 0.0279105 0 1.19777 0.339995 1.1485 0 1.21284 0.295035 -1.17641 0
88 8.8 1.72112 5.82867e-16 0 0 5.82867e-16 0.578676 -0.577095 0.0427417 0 1.22702 0.304825 1.18856 0 1.26104 0.272269 -1.2313 0
89 8.9 1.71638 4.71845e-16 0 0 4.71845e-16 0.517345 -0.514111 0.0577528 0 1.25209 0.266863 1.22332 0 1.30471 0.247247 -1.28107 0
90 9 1.71449 3.88578e-16 0 0 3.88578e-16 0.452419 -0.446458 0.0731976 0 1.27278 0.22623 1.25251 0 1.34388 0.220228 -1.32571 0
91 9.1 1.7152 4.44089e-16 0 0 4.44089e-16 0.385097 -0.374579 0.089388 0 1.28891 0.183097 1.27584 0 1.37859 0.191482 -1.36522 0
92 9.2 1.71826 2.77556e-16 0 0 2.77556e-16 0.317464 -0.298998 0.106692 0 1.30023 0.137707 1.29291 0 1.40887 0.161291 -1.3996 0
93 9.3 1.72334 2.77556e-16 0 0 2.77556e-16 0.253585 -0.220338 0.125525 0 1.30648 0.0903906 1.30335 0 1.43477 0.129948 -1.42887 0
94 9.4 1.73001 2.498e-16 0 0 2.498e-16 0.202055 -0.139334 0.146329 0 1.30741 0.0415895 1.30674 0 1.45636 0.0977441 -1.45307 0
95 9.5 1.73767 3.33067e-16 0 0 3.33067e-16 0.178819 -0.0568328 0.169547 0 1.30276 -0.00813532 1.30273 0 1.47371 0.0649681 -1.47228 0
96 9.6 1.74566 3.05311e-16 0 0 3.05311e-16 0.197329 0.0262098 0.195581 0 1.29233 -0.0581013 1.29102 0 1.48695 0.0318915 -1.4866 0
97 9.7 1.75328 4.71845e-16 0 0 4.71845e-16 0.249682 0.108756 0.224752 0 1.27596 -0.107518 1.27142 0 1.49618 -0.00123858 -1.49618 0
98 9.8 1.7599 3.33067e-16 0 0 3.33067e-16 0.319652 0.189722 0.25726 0 1.25357 -0.155514 1.24389 0 1.50154 -0.0342081 -1.50115 0
99 9.9 1.76505 2.91434e-16 0 0 2.91434e-16 0.397212 0.268018 0.293161 0 1.22517 -0.201177 1.20854 0 1.50318 -0.0668403 -1.5017 0
100 10 1.76849 1.94289e-16 0 0 1.94289e-16 0.477311 0.342596 0.332346 0 1.19082 -0.243599 1.16563 0 1.50125 -0.0989969 -1.49798 0
101 10.1 1.77018 2.498e-16 0 0 2.498e-16 0.557165 0.412492 0.374544 0 1.15067 -0.281917 1.11561 0 1.49586 -0.130575 -1.49015 0
102 10.2 1.77033 2.77556e-16 0 0 2.77556e-16 0.63501 0.476859 0.419337 0 1.10495 -0.315355 1.059 0 1.48713 -0.161504 -1.47833 0
103 10.3 1.76939 2.77556e-16 0 0 2.77556e-16 0.709605 0.534988 0.466183 0 1.05391 -0.343251 0.996446 0 1.47514 -0.191737 -1.46263 0
104 10.4 1.768 4.16334e-16 0 0 4.16334e-16 0.780019 0.586326 0.514444 0 0.997837 -0.365079 0.928653 0 1.45996 -0.221247 -1.4431 0
105 10.5 1.76704 3.60822e-16 0 0 3.60822e-16 0.845537 0.630472 0.563416 0 0.937045 -0.380455 0.856333 0 1.4416 -0.250017 -1.41975 0
106 10.6 1.76757 3.88578e-16 0 0 3.88578e-16 0.905604 0.667179 0.612364 0 0.871855 -0.38914 0.780193 0 1.42004 -0.27804 -1.39256 0
107 10.7 1.7709 4.44089e-16 0 0 4.44089e-16 0.959792 0.696338 0.660541 0 0.802592 -0.391032 0.700891 0 1.39524 -0.305305 -1.36143 0
108 10.8 1.7786 3.05311e-16 0 0 3.05311e-16 1.00778 0.71796 0.707212 0 0.729585 -0.386161 0.619011 0 1.3671 -0.331799 -1.32622 0
109 10.9 1.79265 2.77556e-16 0 0 2.77556e-16 1.04932 0.732166 0.751669 0 0.65318 -0.374672 0.535038 0 1.33545 -0.357494 -1.28671 0
110 11 1.81554 3.33067e-16 0 0 3.33067e-16 1.08425 0.739162 0.793242 0 0.57378 -0.356826 0.449331 0 1.30006 -0.382336 -1.24257 0
111 11.1 1.8504 3.33067e-16 0 0 3.33067e-16 1.11244 0.739233 0.831304 0 0.491937 -0.332996 0.362099 0 1.26065 -0.406237 -1.1934 0
112 11.2 1.90106 3.88578e-16 0 0 3.88578e-16 1.13384 0.732721 0.865281 0 0.408595 -0.303678 0.273367 0 1.2168 -0.429043 -1.13865 0
113 11.3 1.97147 2.77556e-16 0 0 2.77556e-16 1.1484 0.720024 0.894649 0 0.325755 -0.269522 0.18296 0 1.16799 -0.450502 -1.07761 0
114 11.4 2.06403 3.33067e-16 0 0 3.33067e-16 1.15615 0.701576 0.918947 0 0.24844 -0.23137 0.0904992 0 1.11359 -0.470206 -1.00945 0
115 11.5 2.17608 3.33067e-16 0 0 3.33067e-16 1.15711 0.677842 0.937781 0 0.190373 -0.19032 -0.00448457 0 1.05296 -0.487522 -0.933297 0
116 11.6 2.29686 4.44089e-16 0 0 4.44089e-16 1.15137 0.649296 0.95083 0 0.179647 -0.147721 -0.102232 0 0.985747 -0.501576 -0.848598 0
117 11.7 2.41021 2.77556e-16 0 0 2.77556e-16 1.13905 0.616402 0.957849 0 0.22793 -0.10503 -0.202289 0 0.912344 -0.511372 -0.75556 0
118 11.8 2.50275 4.44089e-16 0 0 4.44089e-16 1.12024 0.579576 0.958659 0 0.309963 -0.063572 -0.303374 0 0.834062 -0.516004 -0.655286 0
119 11.9 2.56843 4.44089e-16 0 0 4.44089e-16 1.09505 0.539152 0.953126 0 0.404466 -0.0244251 -0.403728 0 0.752849 -0.514727 -0.549398 0
120 12 2.60685 4.996e-16 0 0 4.996e-16 1.06352 0.495351 0.941113 0 0.501579 0.0115568 -0.501446 0 0.671016 -0.506907 -0.439667 0
121 12.1 2.62117 3.88578e-16 0 0 3.88578e-16 1.02558 0.44825 0.922436 0 0.596218 0.0437271 -0.594613 0 0.591193 -0.491977 -0.327823 0
122 12.2 2.61823 3.88578e-16 0 0 3.88578e-16 0.981055 0.39776 0.896803 0 0.685135 0.0716712 -0.681375 0 0.516503 -0.469432 -0.215427 0
123 12.3 2.60993 4.44089e-16 0 0 4.44089e-16 0.9296 0.343602 0.863768 0 0.766042 0.0952887 -0.760092 0 0.450969 -0.43889 -0.103676 0
124 12.4 2.6113 4.44089e-16 0 0 4.44089e-16 0.870764 0.285291 0.822702 0 0.837539 0.114885 -0.829622 0 0.400236 -0.400176 0.00692011 0
125 12.5 2.62967 4.996e-16 0 0 4.996e-16 0.804236 0.22225 0.772917 0 0.899169 0.131106 -0.88956 0 0.37211 -0.353356 0.116643 0
126 12.6 2.65329 4.44089e-16 0 0 4.44089e-16 0.73061 0.154224 0.714147 0 0.951178 0.144695 -0.940108 0 0.374714 -0.298919 0.225961 0
127 12.7 2.66001 6.10623e-16 0 0 6.10623e-16 0.652281 0.0818315 0.647128 0 0.99411 0.156273 -0.98175 0 0.410689 -0.238104 0.334622 0
128 12.8 2.63486 6.66134e-16 0 0 6.66134e-16 0.573371 0.00641958 0.573335 0 1.02853 0.166266 -1.015 0 0.474222 -0.172685 0.441663 0
129 12.9 2.57198 6.03684e-16 0 0 6.03684e-16 0.499421 -0.0704017 0.494434 0 1.05488 0.174906 -1.04028 0 0.555762 -0.104505 0.545848 0
130 13 2.46898 5.55112e-16 0 0 5.55112e-16 0.437507 -0.146933 0.412096 0 1.07351 0.182265 -1.05792 0 0.646792 -0.0353325 0.645826 0
131 13.1 2.32659 4.996e-16 0 0 4.996e-16 0.395717 -0.221423 0.327969 0 1.0846 0.188278 -1.06814 0 0.740911 0.0331451 0.740169 0
132 13.2 2.16795 5.55112e-16 0 0 5.55112e-16 0.380378 -0.29212 0.243625 0 1.08827 0.19277 -1.07106 0 0.833376 0.0993494 0.827433 0
133 13.3 2.07761 6.10623e-16 0 0 6.10623e-16 0.391761 -0.357462 0.160306 0 1.08451 0.195472 -1.06675 0 0.920807 0.16199 0.906446 0
134 13.4 2.01543 7.21645e-16 0 0 7.21645e-16 0.423847 -0.416553 0.0782958 0 1.0733 0.196031 -1.05524 0 1.00153 0.220522 0.976949 0
135 13.5 1.97659 7.21645e-16 0 0 7.21645e-16 0.469243 -0.469233 -0.00313213 0 1.05454 0.194025 -1.03653 0 1.07547 0.275208 1.03966 0
136 13.6 1.96271 6.10623e-16 0 0 6.10623e-16 0.522524 -0.515565 -0.0849934 0 1.02812 0.188958 -1.01061 0 1.14325 0.326607 1.0956 0
137 13.7 1.97002 7.21645e-16 0 0 7.21645e-16 0.580384 -0.555495 -0.16814 0 0.993976 0.180258 -0.977494 0 1.20552 0.375237 1.14563 0
138 13.8 1.99344 6.10623e-16 0 0 6.10623e-16 0.640899 -0.588789 -0.25314 0 0.952098 0.16729 -0.937286 0 1.26284 0.421499 1.19043 0
139 13.9 2.02738 5.55112e-16 0 0 5.55112e-16 0.70291 -0.615078 -0.340238 0 0.90268 0.149392 -0.890233 0 1.31564 0.465686 1.23047 0
140 14 2.06541 4.44089e-16 0 0 4.44089e-16 0.765645 -0.633957 -0.429314 0 0.846242 0.125945 -0.836817 0 1.36425 0.508011 1.26613 0
141 14.1 2.1004 4.44089e-16 0 0 4.44089e-16 0.828499 -0.64511 -0.51985 0 0.783791 0.0964911 -0.777829 0 1.40888 0.548619 1.29768 0
142 14.2 2.12537 3.33067e-16 0 0 3.33067e-16 0.890911 -0.648433 -0.610948 0 0.71695 0.0608309 -0.714365 0 1.44973 0.587602 1.32531 0
143 14.3 2.13451 4.44089e-16 0 0 4.44089e-16 0.952282 -0.644084 -0.701424 0 0.648042 0.0190752 -0.647761 0 1.48692 0.625009 1.34919 0
144 14.4 2.12379 4.44089e-16 0 0 4.44089e-16 1.01193 -0.632471 -0.789928 0 0.580182 -0.0283791 -0.579488 0 1.52053 0.66085 1.36942 0
145 14.5 2.09094 4.44089e-16 0 0 4.44089e-16 1.06909 -0.614205 -0.875044 0 0.517422 -0.0809022 -0.511058 0 1.55063 0.695107 1.3861 0
146 14.6 2.03538 4.44089e-16 0 0 4.44089e-16 1.12291 -0.590056 -0.95538 0 0.464814 -0.13768 -0.443955 0 1.57726 0.727736 1.39933 0
147 14.7 1.95835 3.33067e-16 0 0 3.33067e-16 1.17252 -0.560926 -1.02965 0 0.427983 -0.197751 -0.379557 0 1.60045 0.758677 1.4092 0
148 14.8 1.86332 3.33067e-16 0 0 3.33067e-16 1.21716 -0.527822 -1.09676 0 0.411591 -0.26004 -0.31904 0 1.62025 0.787862 1.4158 0
149 14.9 1.75601 3.33067e-16 0 0 3.33067e-16 1.25625 -0.491801 -1.15598 0 0.417014 -0.32342 -0.26325 0 1.6367 0.815221 1.41923 0
150 15 1.64338 4.44089e-16 0 0 4.44089e-16 1.28951 -0.453891 -1.20699 0 0.44138 -0.386798 -0.21261 0 1.64985 0.840689 1.4196 0
151 15.1 1.53204 5.55112e-16 0 0 5.55112e-16 1.31697 -0.414989 -1.24988 0 0.479306 -0.449222 -0.167134 0 1.65976 0.864211 1.41701 0
152 15.2 1.42697 4.44089e-16 0 0 4.44089e-16 1.33888 -0.375805 -1.28505 0 0.525405 -0.509937 -0.126545 0 1.66648 0.885742 1.4116 0
